"",GSM630684.Signal,GSM630685.Signal,GSM630701.Signal,GSM630703.Signal,GSM630706.Signal,GSM630716.Signal
100130691,4.75338264396633,4.51563678008322,5.38938729024819,4.59043918735054,5.15580033229784,5.12474769714341
100130827,4.79789439600876,4.76468378777601,4.62780952202146,4.60596186468423,4.41231806594055,5.02685689024086
100131211,4.43711872439942,4.62737922317558,4.71212222301322,5.08854390948367,5.34920105988859,4.74023409079212
100131726,4.56108274462375,4.91740689827517,4.98834722719863,4.54067498271092,4.63422030762112,4.61711425510765
100131755,4.57533456934939,4.46528745638562,4.63538673315869,4.33894566674694,4.70335469391315,5.69948293350885
100131827,4.90884539134723,4.9010244254464,4.61899679774586,4.86221510693729,4.64701891605916,4.51627793606148
100132057,5.39424620022452,5.12308875815351,5.23486527435153,6.35283049813843,5.8047455205754,5.23091076032961
100132101,5.03222107938086,4.91870563250613,4.97068733221921,5.00592014306952,5.18925518778348,4.69336326562174
100132288,4.85960888557263,5.57141349718133,5.69228161042362,5.34657001835929,4.61277130864519,5.75153725922076
100132341,8.02223300173485,7.64545817515801,9.01996406382435,7.58775056085149,8.22067420024552,8.97091203744662
100132406,12.0096595895428,11.263366152919,12.7775104062681,11.3226588502939,11.9124539636339,12.8314421811461
100132476,4.89937427773953,4.42295304000041,4.7864923662139,4.40906262082156,4.39547009130222,4.62474934612879
100133050,4.88018147425451,5.13368524498102,4.89007111073974,4.56612531259137,5.19557080900119,5.86060802476847
100133161,5.21749959886811,5.00876779450814,5.32181743996233,5.8228928956232,5.57101830776307,5.55256473296493
100133941,5.2554889251905,11.4911612328327,6.06247935468414,4.46757752682647,4.69291668541184,5.4639976720125
10014,4.98897212551718,4.42514377599637,4.93285394259538,4.55484391777061,4.44217908123256,4.55550369157274
100144596,4.49556176443257,4.34624848024961,4.82891415976862,4.97293045778619,4.75821420768185,4.54890676892495
10015,7.45010961843515,7.22484538645205,7.5825160288695,7.01061831346895,7.51107822932486,7.9025572454384
100151684,6.20057655617805,6.15387309274291,4.75198161117924,6.06414355708575,5.91673102283602,4.57451104811717
10016,10.2540322180903,10.3722794373894,10.3209160001089,10.2213293572789,9.84771101454866,10.3043631366282
10018,6.70120119553995,7.01045568085102,5.53544899932054,7.01606666709043,6.21717730599073,5.17679839161348
100188893,10.6546676705262,10.6714933201851,10.5972183090227,10.5631824672317,10.7415338575396,10.8664910323034
10019,9.47224914182346,9.30773411452689,9.46896434240197,8.63080346761471,9.50558485705493,9.34249049772375
1002,4.36292951305501,4.49897040936692,4.38345454408543,4.35066892260929,4.55803887863517,5.04857087453043
10020,7.92507740288341,7.7051652748674,7.90560275033709,7.35379410484057,7.96855585985367,8.20618999425693
10022,4.70148192025575,4.62630658748686,4.72455337094664,4.95363276229682,4.52790835909909,4.46805177503408
10023,5.59639728443197,5.21624065247416,5.37113331324003,4.89550768366568,5.58062225222405,5.88285514065755
10024,5.13409723040619,6.35699714669101,4.36159845885119,6.93695450038764,4.74951433114249,4.41224145133131
100240735,7.3248150039462,7.10640561431819,6.59596085538597,7.37341785537332,7.46237566441995,6.84713398299136
10025,8.30999439871031,7.73533943029032,7.66025781744639,7.55617984234591,7.37282478023646,8.15138736584174
10026,7.37923601711927,7.72540231381628,7.69091154506642,7.27667490411872,7.33876435842757,7.55617984234591
100272147,8.75852012727522,8.34202452778027,8.82309870502044,8.61832238086773,8.95292395469754,9.16036448186596
100272228,4.94681505612871,5.46761400060872,4.77130882352277,5.53544899932054,4.62795895632373,4.72578764237994
100287171,11.3876704885101,10.7434724904622,11.425405901075,11.1876730282825,11.1741915781215,11.1720212646729
100287362,4.31278711861561,4.64370128282565,4.29903688985702,4.88140535944829,4.43821003360702,4.40697611852538
100287834,4.4820166671127,4.82082686887223,4.9677733307817,4.46265080465609,4.57066524894332,4.60812383717079
100287896,4.87894951581105,4.59947033303138,5.12661057933024,4.34056960105509,4.89137454509465,5.72865053419552
100287932,8.22118046244254,8.88510765300955,8.26847457865907,8.96826874166302,8.30403801655451,7.62243835875556
100288069,4.80198374848582,4.77967372811011,4.81492885712776,5.21788460035647,4.5774724059454,4.94816852400016
100288122,4.71880675241126,4.71838784088521,4.57415672216843,4.5378318307194,4.76993199081859,4.95404453733922
100288208,4.95728871702227,4.61202001829787,4.54950904752905,5.0651712171655,4.52269539125533,4.47300583135431
100289019,7.71323955598981,7.16992188572594,7.74209295558203,7.38014187499465,7.53526919889719,8.36345213901813
100289274,5.19544104651796,5.48749372395708,5.1064702123989,5.55883746249572,4.96484794829929,5.34958397029265
100289410,5.67390856358808,5.63528546374875,6.95234297163038,5.93898714462366,6.38747135257694,7.51813529757252
100289635,4.88279623987227,5.06640643377371,5.11567849561151,5.25058674890748,5.23187836582317,4.94738149365925
100289673,4.69069078294747,4.67499648206169,5.02866602065905,5.36041884479253,4.92725479165144,4.62134854215362
100316904,8.99758175798661,8.68738870995798,9.97113409378751,9.05821051674899,8.99178345092754,10.3658430823513
10036,4.53994034008724,5.76538204797894,4.77293131702014,6.26764626208381,4.71157115954762,4.62961319731481
10038,7.34019747549538,7.48372716306412,6.83375040543206,7.5217083061818,7.23909985859131,6.80477916110802
10039,8.73891373910514,8.34795403514796,8.41230466437595,8.98511847981452,8.52671488331058,8.18270813157705
10042,4.66321664197728,4.9924742278785,4.52305157614591,4.76701114608621,4.42818479956768,4.98611250385533
10043,4.70461904178121,5.02822239430569,4.67720241600689,4.77108536582972,5.17415169401556,5.08339613999675
10044,6.66676391435861,6.74142238815282,6.57316270915106,7.01732770190667,6.82330964588299,5.88430870782718
10045,5.43036709735918,5.00381674501977,5.91107820522556,5.69247797398827,5.86093117672267,6.43819154456846
10046,5.50358526060553,4.58855510393953,5.22019575727256,4.6061372562266,5.19997956383574,4.76745243108951
100462977,6.70227845387179,6.99902345355777,6.94262503747524,7.56859426066857,7.03797962266621,7.70586300900068
10048,6.31670304357622,6.0354387009502,5.87275915063131,5.7702224744104,6.28664146110245,5.87405873551119
10049,11.2058887473204,10.9914274978758,11.1787216048227,10.7933463287334,11.2995709492775,11.2254096184408
100505501,8.41230466437595,7.87306245439676,7.72144641257776,8.14232411258421,8.25383002450207,6.1668012733449
100505576,6.69854848860882,6.53960901183375,5.6612285604508,7.15264607777492,6.54159866090424,6.24188048258959
100505588,4.34905057943773,4.55553739486667,4.57595706058778,4.47797235809793,5.27023696041091,4.5686081762409
100505679,4.46692707090035,4.85841547097859,4.68767113572938,4.34961093475587,4.48908825067444,4.87641744391606
100505715,6.48765785444895,7.05705604787458,7.26440496308965,5.98443560256319,6.91382041023564,7.66483329568264
100505768,4.41775169396674,4.88913065046584,4.46527615579243,4.48063336301945,4.74129297689833,4.72741835894528
100505881,4.32048228645673,4.60465830308025,5.35409686173908,4.42057519362779,4.77495743673452,5.05951882631103
100505929,4.96976558187652,4.75304180058536,4.83456309154301,4.77009131605185,5.38659658628546,4.7496981655041
100505975,4.7742939585807,4.4191680211184,4.66983183424885,4.61937164899521,4.49719205099757,4.91881745774398
100506035,5.56654298079172,5.55492578534721,7.10061036612227,5.72578459356245,6.08913368132298,7.16719387766456
100506085,5.72004493733428,5.57971725043489,4.98246345581,5.33186729874835,5.34517109422068,4.80340083178706
100506123,7.98325769682425,7.38324755978316,7.75920581633345,7.87246797302881,7.69937040291631,8.56515688643982
100506144,9.55305588837899,9.69775642820334,9.91800917486341,9.60285686752112,9.59005962885442,9.73615777837581
100506236,4.97674327290609,4.72688817156131,4.84816771798057,4.62718874606266,4.61582168577104,4.60454785581566
100506368,4.66453500998544,4.8441875085837,4.77991657457571,4.67123181711754,4.67077643126254,5.11567849561151
100506530,4.90217985511018,4.47555010577588,4.89162313346788,4.71577516648954,4.81910697012141,4.85077802986439
100506532,4.90912571487398,4.5490872364946,4.47445682405965,4.40425251517713,4.48982072561286,4.55907874695631
100506658,5.68162641575471,5.03270407972522,5.3634700976987,5.91138487566694,5.21052556088968,4.96492365260284
100506668,4.62208311937456,5.2765959568456,4.72874514158789,5.3201389424432,4.79831527264588,5.32049602273953
100506691,4.54814981413998,4.79196252189822,4.6307864009909,4.86469250191082,4.50751768358555,4.48928105927819
100506736,4.91634938863792,4.47275004705384,4.3560561065194,4.65551066147382,4.44692862472027,4.39402836936797
100506815,5.3735175641217,5.87305842346439,6.06760288160554,5.36757257272214,5.36219334606728,6.8354812549816
100506990,5.63365845124085,4.74355654901633,5.89942582827843,5.00047191260463,5.7465950299164,6.79943028553312
100507032,5.84246822093214,5.61754024705606,5.31009850054949,5.61908116790418,5.24857627435173,6.46300214049261
100507062,5.29586058771017,5.37372452650057,6.28614022156129,5.57665647933352,5.51190560064237,6.3039052104536
100507203,4.43583701228593,4.5651209383371,4.42234608522431,4.99737562266684,4.34520932925803,4.5655708661334
100507266,5.44356939127018,5.42394359865551,5.27103675448218,5.62543247339053,5.56912813943101,5.28177431727722
100507290,4.68644158806007,4.53350831274316,4.80790072756956,4.62246219339099,4.96976558187652,4.55299663880218
100507321,5.63692533503988,6.26600497559037,5.98471626844098,5.60604167697906,6.09495848258575,5.71391652867223
100507436,6.3301747419569,5.90988610429259,5.40668741945488,6.04453908862433,5.84854440037447,6.03148736924131
100507470,4.60081735117892,4.89569967187722,4.56475832751385,4.35863211233521,5.40725274055985,4.59735656509606
100507521,4.9497934721144,4.61625452571592,4.87901783213047,4.66475399175055,4.76257103631842,4.93241267522563
100507599,5.37157064204458,5.21870907053422,4.69875259941668,4.93081487317357,5.02598493449179,4.77476125122577
100507607,9.80781216837081,9.2778055744524,9.63522662986387,9.45759054169487,9.92359010681235,9.89902371355594
100507612,6.83667771008751,6.3908865391042,8.58505631922512,5.24412484153181,7.23683863564605,9.4179299676952
100507632,4.41887811691697,4.64413136897905,4.55420614714915,4.55953572036668,5.1567168899753,4.75592798147611
100507670,4.41942739313885,4.90735755387737,4.40401013227366,4.61253255612767,4.53240935469887,4.42988926774042
10051,9.4932709940462,10.1609993115026,8.72936471415613,9.93805455229515,9.34415149581667,8.32436519231338
10052,13.3893215167215,13.2182036813823,13.4315785671529,13.5652606655949,13.4087930072935,13.6838191393855
10053,4.92284105816372,4.55925922988182,4.67665566905887,4.72344429291889,4.85836760503954,5.15910149647397
100533107,4.79725633623791,4.77752228465115,4.89611033715143,4.80859513771963,5.36403732197768,5.21870907053422
10054,5.57839924878695,5.09269768266135,5.11909798023775,4.67264134656116,5.2520589233347,5.68945252241998
10055,11.1822903827117,11.5517284564918,11.1657678395231,11.3807393797218,11.0433580779836,11.687134130204
10056,5.04201135335598,4.76492175569979,4.77195475982643,4.61232816380646,4.53085353142834,4.8106729307582
10057,7.79686553740439,7.41147982329381,8.15591332652068,7.6488556336864,7.70719993681539,7.81797944715704
10058,5.1475386730241,5.7809006258883,6.02145664501579,5.98890249126823,5.46778282468501,6.2469322930196
10059,6.19347313527496,6.65153802008764,6.43083502859461,6.35566158109972,6.47656912546257,5.61248435123193
10060,4.48266022685054,4.65371731074005,4.73927254853729,4.41632006602983,4.54690180048839,5.01402568599282
10061,5.23230189432752,4.7632325627915,5.54162368217641,4.63969006630973,5.85682964274055,6.57861088543644
10062,5.7346367628812,6.33651032089726,5.39165982694359,6.1964873589653,5.6468979384324,5.58740618355779
10063,10.91556523414,10.9685488595817,10.4732483052492,11.1263404339764,10.6378526441126,10.4465440325709
100630918,5.38284011492804,4.62144881394045,4.88567915887547,4.85744256381975,4.72837788541896,4.72977516942931
10066,7.0132792575661,7.31664664250353,6.96927057161545,7.40122816503774,6.8465915651166,6.4594491441727
10067,5.32795750917738,5.35224865795467,5.24857627435173,5.33971031376359,5.00299554323264,4.93950436374425
10068,9.21105760727746,7.92447507741095,9.241341174002,7.68749540327749,8.79188960780279,7.77006283369982
10069,5.76653608210408,5.75135934966357,6.05788072054764,6.46800473303133,5.65804320603048,5.91406952735415
1007,4.68652272690516,4.87861457220369,4.90912571487398,4.89873633159252,4.48735309067956,4.76284977499734
10072,6.56212566568392,7.55288504897499,5.92262092978317,7.29875564969914,6.68034673247389,6.09768830171289
10073,8.01008572727094,8.19748811221726,7.97914423574946,8.17044791205778,7.99647483898066,7.9289314929731
10075,6.31049816142841,6.34701553552563,6.53401054982527,6.79150914605551,6.45242846370732,7.17790954593532
