"",GSM155179.CEL,GSM155181.CEL,GSM155183.CEL,GSM155185.CEL,GSM155187.CEL,GSM155190.CEL,GSM155195.CEL,GSM155201.CEL,GSM155203.CEL,GSM155206.CEL,GSM155219.CEL,GSM155221.CEL,GSM155223.CEL,GSM155225.CEL,GSM155227.CEL,GSM155229.CEL,GSM155232.CEL,GSM155234.CEL,GSM155236.CEL,GSM155238.CEL
100133941,5.09744412008143,5.65817104105323,5.54093588633902,5.2923611411939,5.31562182653512,6.71519317442097,7.36747826840834,5.52103895051203,5.52324139319441,5.55763947501727,5.23090382654356,5.39515799504821,5.55256641475518,5.05241740794345,5.8765935926043,6.25282429927271,5.70719072566207,5.54808018621727,5.98742401051018,5.70581313282856
10015,9.82798183248308,9.90552766643223,9.8196483206334,9.5380165343841,10.082353255674,10.0634057748236,9.74450669172756,9.84285919452419,9.31543282352056,9.46176372542888,9.68337266575913,9.98244213687456,9.65635968229525,9.65639242662893,9.90999077608534,9.86205615809041,10.0728022641334,9.75466638798393,9.66971916998536,9.69304944807902
10016,9.26045792921564,9.52440334595278,9.65223620611321,9.00426686392182,9.34420005098452,8.93235559638824,9.02974434329185,8.897547041838,8.58781633622483,8.57324966749192,9.25080255238338,9.01007113560851,9.12212738814691,8.78399683406578,9.06499721426613,9.01805030198951,9.496152685262,8.80977064984351,8.65068013409127,8.77073369930172
100169750,7.852625279605,7.89698159760932,8.01135394647098,8.75454642536746,7.87713448863915,8.10937153346173,7.99675455555934,7.91578737782471,8.03182926004097,7.95690544577673,7.74695553422682,7.85775147550365,7.92623139619704,8.0142998765697,7.96543854072516,7.92668696637277,7.87864523335827,8.11903215304533,8.18591727617114,7.83521352454025
10018,6.19126383490279,7.06918882025369,5.86313977559505,6.2259959372099,6.47044606419676,5.86231736907689,5.99321345590989,6.16380294593166,6.34558922535902,6.19501714040758,5.81151755898186,5.9214444649984,6.11649414364904,6.42120245431492,5.86478655581603,5.88578796418295,5.87825490121217,6.08786565865959,6.07621639705305,5.83227716358257
10019,8.06185898373095,8.36797857907504,8.06094288708473,7.9908663932045,8.38019004790821,8.3581777033915,8.18904879954166,8.41768119814375,7.78331423405586,7.89010512363428,8.41187896781,8.53609709807597,8.7497155992362,7.63334802581447,8.39880854665775,8.45007042613261,8.35310188688583,8.64449887718993,8.37147140869834,8.03793342394108
10020,6.5875777996626,6.80186326920502,6.75920088535249,6.99816221789424,6.95499975223008,6.74937866694331,6.74419988088447,6.80247134187038,6.3341219373455,6.92241408998143,7.02356306448757,7.04712499275216,7.36065822161024,6.4646599973121,6.92763424786838,6.8556108106334,7.00675469889147,6.9935519989933,7.12994184813512,7.46287492437721
10023,7.93741404296202,7.59832362846544,8.38416347658731,7.64944756832964,7.75154772745259,7.87311688517586,7.91046466139152,8.59653736015873,7.88075861528932,8.71083274895842,8.69616498960282,8.50111465163362,8.98847831537953,8.23358105077455,8.92463845100981,8.33575824470982,8.47876641672002,8.34118173130912,8.95294381655893,8.77905465683433
10024,7.04514410309243,7.39873628076132,6.83663765252137,6.97024714722782,7.06985196860348,6.71070692840775,6.96409031858767,6.96086621852529,7.0606072779133,7.07603022312444,6.63392861545811,6.70443870190002,6.90257388575072,6.94403299163369,6.74249064550758,6.63741156685015,6.66903357723055,7.131055459812,6.78499918218095,6.62386030859096
10025,8.98744229503172,8.84982359878723,8.42786376738606,7.49027689206858,8.49716646997479,8.34450221432181,8.46726058271733,8.1005173858192,8.41443809452721,8.99994974387965,8.40287588975893,8.65944398615979,9.01294516894895,8.49672954111204,7.88325481492681,8.5378002657798,8.97783357624166,8.79782318702818,8.51476988525659,8.26712978706285
