EntrezID	Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
257396	LOC257396	-1.421770408917	8.82500431735671	-6.81705890790813	9.57354899304381e-10	2.21750836773728e-08	11.9263692605653
4841	NONO	1.00178430695105	5.84562062309077	6.81266757811179	9.76968697465499e-10	2.25314756429591e-08	11.9066461595069
23464	GCAT	-1.41990494477519	6.88987127669519	-6.81220046687169	9.79078325646794e-10	2.25314756429591e-08	11.9045484250388
9709	HERPUD1	1.13652743110837	6.1138694025799	6.81022172225475	9.88065157099952e-10	2.26649397810895e-08	11.8956626509203
6746	SSR2	1.31663479665598	5.85939452013085	6.79451734982478	1.0623485152709e-09	2.42905475629948e-08	11.8251694693414
11026	LILRA3	-1.22912482670956	7.65525238878212	-6.78924462961026	1.08850918347452e-09	2.48089384733568e-08	11.80151310697
64783	RBM15	1.07901358493567	5.94320492731561	6.77853704007488	1.14361477118661e-09	2.59816122616869e-08	11.7534909681471
23189	KANK1	-1.25803991257116	6.86297207882792	-6.77533741655395	1.16061125003151e-09	2.62837789776244e-08	11.7391457917919
4689	NCF4	-1.83056182774521	7.37000988504792	-6.77419750607206	1.16672673770964e-09	2.63383931169943e-08	11.7340356484559
56851	EMC7	1.28335501119438	6.27727894805889	6.77277840681615	1.17438466073035e-09	2.64273712735872e-08	11.7276743066255
6100	RP9	0.6445165603484	5.47097867766698	6.77170162774638	1.18022851479339e-09	2.64537545584721e-08	11.7228477564515
91304	TMEM259	1.35671111385326	5.99003323501431	6.77119329456469	1.18299732099482e-09	2.64537545584721e-08	11.7205692916584
152006	RNF38	1.37000862522213	6.29120140767218	6.76533851799414	1.21535487498463e-09	2.7021187948387e-08	11.6943308259685
9138	ARHGEF1	-2.0976494066071	9.42979646980498	-6.76465824262498	1.21917093759945e-09	2.7021187948387e-08	11.6912826135108
3614	IMPDH1	-2.1438266088484	8.17784130536255	-6.76455121971922	1.21977237117596e-09	2.7021187948387e-08	11.6908030688407
90864	SPSB3	1.45463007936975	6.15467696146347	6.76313485421925	1.22775961468079e-09	2.71136603105437e-08	11.6844568962299
162989	DEDD2	0.849856378125045	5.7137781252397	6.75851474924916	1.25417537633384e-09	2.76112727588542e-08	11.6637590219055
55030	FBXO34	1.35919784008045	6.06920911639525	6.75767180199287	1.25905534956727e-09	2.76331561443606e-08	11.6599831474928
10260	DENND4A	0.667768151608512	5.69090871669678	6.75284197443233	1.28738084837062e-09	2.81678929623491e-08	11.6383514943557
